Tracktitle,Artistname,Othername,ISNI code,IPI code,ISRC,album
Beautiful,Christina Aguilera,Christina Aquilera,['000000005518483X'],['00426316475'],d5c1f675-551b-41a3-9da0-08dbcf93b07e,Keeps Gettin' Better: A Decade of Hits
Single Ladies,Beyonce,Beyoncé Knowles-Carter,['0000000114914936'],['00341826274'],92e37099-d566-41ce-9e67-af0063f00509,Life Is but a Dream / Live in Atlantic City
Mr. Brightside,The Killers,"Killers, The",not found,not found,d6723cb9-6825-4bbc-acd3-e1f2536f2b7c,We Won't Stop: A Compilation of Covers for ACLU
American Idiot,Green day,Greenday,['0000000122711282'],not found,c7132ece-10b8-4e0e-93b2-5877fde280c6,American Idiot
Wake Up,The Vamps,not found,not found,not found,3ef2432a-f263-4060-9367-644a5f2e8bbc,"NOW 2016, Vol. 1"
All My Friends,Snakehips,not found,not found,not found,87973e8c-a38e-4538-97f0-d03e28b9e68a,Beach Club
Clint Eastwood,Gorillaz,Gorilaz,['0000000114814345'],not found,5ae5489b-54bb-48f5-9df2-fd42720d66d0,Gorillaz (Un-mastered Tracks)
Losing My Edge,LCD soundsystem,LCD sound system,['0000000107245674'],not found,2f8c6c63-a8a4-4ab5-a25d-377f9ef77305,Shut Up and Play the Hits
Moment of Surrender,U2,U2 Kiwi,['0000000121505903'],not found,b1f3562f-ab9b-429a-aaa6-3a5ac8e96b22,"2010-10-08: Stadio Olimpico, Rome, Italy"
One More Time,Daft punk,Duft Punk,['0000000123531208'],not found,eb2afe23-cdb8-4809-9498-7b95443904c4,BEST OF ELECTRO STEP
Take Me Out,Franz Ferdinand,"Ferdinand, Franz",not found,not found,cb7ee449-3ae8-4eb7-b864-c90716cd60bf,"Live at Forest National Club, Brussels"
A Few Words in Defense of Our Country,Randy Newman,Randall Stuart Newman,['0000000108970392'],"['00022282811', '00125728769']",3451ec0b-e29a-4ebd-9fcc-dcf0e8f16276,Live in London
Such Great Heights,The Postal Service,Postal Service,['0000000094875326'],not found,2e11178f-3a19-44fb-b02f-c7394f7021c9,The Best Imitation of Myself: A Retrospective (Radio Modules & Sampler)
Everything in Its Right Place,Radiohead,r/head,['0000000115475162'],not found,ac56d103-b8d5-42aa-a8e3-36679006554f,"2003-06-02: Musique Plus, Montréal, QC, Canada"
Cry Me a River,Justin Timberlake,Justin Randall Timberlake,['000000011450569X'],['00345256954'],9b625397-5908-4cf8-908b-b5f2312a6139,Love Hurts: 40 of the Most Moving Songs of All Time
Since U Been Gone,Kelly Clarkson,Kelly Brianne Clarkson,['0000000114370895'],not found,21414608-fdb0-4f3f-b6dd-de7e10f3ceaf,Since U Been Gone
Lose Yourself,Eminem,Ominem,"['0000000117699370', '0000000368611900']","['00354929235', '00354929431']",69e8e5b0-89d5-4cfc-9dfc-49e1aea57290,Hip Hop da Moda
Time to Pretend,Brooklyn Vegan,not found,not found,not found,2be18a03-f235-49a5-bd66-cda1de20b0a6,"Hipster Dinner Party, Volume 1"
Beautiful Day,Tom Hanks,not found,['0000000121232378'],not found,fb597068-f813-4a6b-aba1-70ee51e64806,X-Ray Sierra
Seven Nation Army,Kake,not found,not found,not found,94c5ce06-0273-4e0f-be68-bf4a510e418c,not found
Paper Planes,Remi wolf,not found,not found,not found,2f44f68f-2f87-4ef9-baf9-5c8b4d1fd800,Paper Planes
Crazy in Love,Beyonce,Beyoncé Knowles-Carter,['0000000114914936'],['00341826274'],da51898a-e78d-40b6-895f-519451089e50,Crazy in Love (The Remixes)
99 Problems,Jay-Z,Shawn Corey Carter,"['0000000118335528', '0000000368615389']","['00240089393', '00240089491', '00240089589']",29ee08e9-7dc5-4682-8399-e29324b8245e,The Latin Album
In Da Club,Rick Ross,W. Roberts,"['0000000058867353', '0000000368399292']","['00418516166', '00418516362']",d38a9c66-158c-46a2-8a0b-db22f5be11f9,Walking on Water 2
